fund_type,fund_style,asset_size,ranking_score,current_stocks,current_bonds,current_cash,ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17
混合型,大盘价值,"(2.009, 4.665]","(0.75, 1.0]",0.8798999999999999,0.0275,0.0965,0.4705,0.2432,0.0,0.0321,0.052300000000000006,0.0,0.0,0.0,0.0,0.025099999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(4.665, 9.03]","(0.75, 1.0]",0.8978,0.011899999999999999,0.10300000000000001,0.6057,0.0014000000000000002,0.0495,0.0,0.0,0.0,0.2198,0.0,0.0,0.0,0.0,0.0,0.021400000000000002,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(19.83, 186.94]","(0.75, 1.0]",0.8756999999999999,0.0353,0.033,0.5982999999999999,0.0325,0.145,0.0,0.0,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016399999999999998,0.0
混合型,大盘平衡,"(4.665, 9.03]","(0.75, 1.0]",0.8984000000000001,0.0014000000000000002,0.10640000000000001,0.6311,0.0,0.0,0.0,0.059800000000000006,0.0,0.0,0.0,0.0,0.050499999999999996,0.0,0.0414,0.0,0.0679,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.5, 0.75]",0.8044,0.0556,0.1451,0.5882999999999999,0.0886,0.0134,0.0,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.75, 1.0]",0.8651000000000001,0.0022,0.1451,0.4213,0.0274,0.41159999999999997,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(4.665, 9.03]","(0.75, 1.0]",0.9033,0.0,0.1142,0.8011,0.0034000000000000002,0.0365,0.0,0.0,0.0,0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(4.665, 9.03]","(0.5, 0.75]",0.8104,0.0,0.2046,0.5075999999999999,0.0669,0.048,0.0,0.0269,0.0,0.10400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.5, 0.75]",0.8231,0.0,0.18109999999999998,0.6873999999999999,0.0,0.0862,0.0,0.0,0.0001,0.049400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.8756,0.0,0.1435,0.5386,0.0759,0.0889,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447,0.0,0.0,0.0,0.0
混合型,大盘价值,"(2.009, 4.665]","(0.25, 0.5]",0.7813,0.0026,0.2225,0.3114,0.1882,0.15839999999999999,0.09050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.5, 0.75]",0.9375,0.0,0.0666,0.4569,0.0298,0.0,0.2223,0.0,0.1367,0.0,0.09119999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
股票型,大盘平衡,"(19.83, 186.94]","(0.75, 1.0]",0.9243000000000001,0.0,0.0775,0.6581999999999999,0.0,0.0913,0.1072,0.0,0.0,0.045700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015600000000000001,0.0,0.0,0.0
股票型,小盘平衡,"(4.665, 9.03]","(0.75, 1.0]",0.9287000000000001,0.0,0.0755,0.6520999999999999,0.0,0.25079999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0007000000000000001,0.0,0.0005,0.024399999999999998,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(19.83, 186.94]","(0.75, 1.0]",0.9177,0.0118,0.069,0.5906,0.0,0.21660000000000001,0.0,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.018600000000000002,0.0,0.0,0.0,0.0
股票指数,大盘平衡,"(4.665, 9.03]","(0.0, 0.25]",0.9349,0.0,0.0662,0.8789,0.0034999999999999996,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.75, 1.0]",0.9222,0.0,0.0863,0.7099,0.0,0.2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(2.009, 4.665]","(0.75, 1.0]",0.88,0.0,0.12789999999999999,0.7384999999999999,0.0394,0.0647,0.0,0.0,0.0,0.022099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0
混合型,大盘价值,"(4.665, 9.03]","(0.5, 0.75]",0.9244,0.0,0.0872,0.6578,0.0,0.056100000000000004,0.0437,0.0,0.0,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0
混合型,大盘平衡,"(19.83, 186.94]","(0.75, 1.0]",0.92,0.0,0.08689999999999999,0.4911,0.0,0.1378,0.2143,0.0,0.0,0.0,0.0,0.0,0.0697,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(2.009, 4.665]","(0.75, 1.0]",0.7925,0.0,0.2635,0.5166,0.107,0.0739,0.027200000000000002,0.0,0.032400000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,中盘价值,"(9.03, 19.83]","(0.75, 1.0]",0.7911,0.0,0.060599999999999994,0.47450000000000003,0.0528,0.1577,0.0,0.024,0.0,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(9.03, 19.83]","(0.0, 0.25]",0.8314,0.0,0.1399,0.4851,0.0,0.2175,0.0,0.0,0.0207,0.0311,0.0,0.0,0.0,0.0,0.0,0.0412,0.0,0.0,0.0,0.0,0.0
混合型,大盘平衡,"(4.665, 9.03]","(0.75, 1.0]",0.8645999999999999,0.0023,0.149,0.6547,0.0992,0.0285,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0,0.0,0.0,0.0,0.0
股票型,大盘平衡,"(9.03, 19.83]","(0.25, 0.5]",0.8844,0.002,0.11710000000000001,0.6336999999999999,0.0,0.0709,0.0,0.0,0.0,0.0,0.024300000000000002,0.0,0.0,0.0815,0.0,0.0484,0.0,0.0,0.0,0.0,0.0
股票型,大盘成长,"(19.83, 186.94]","(0.75, 1.0]",0.9063,0.0,0.0966,0.33509999999999995,0.0451,0.4146,0.0,0.0269,0.0,0.0,0.0,0.0,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(19.83, 186.94]","(0.5, 0.75]",0.9057999999999999,0.0,0.1139,0.6454000000000001,0.0,0.2237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366,0.0,0.0,0.0,0.0,0.0,0.0
股票型,中盘价值,"(9.03, 19.83]","(0.75, 1.0]",0.9257,0.0536,0.026600000000000002,0.7321,0.0,0.0,0.0,0.0,0.0,0.1795,0.0,0.0,0.0,0.0001,0.0,0.0,0.013999999999999999,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.75, 1.0]",0.8808,0.0121,0.1153,0.6805,0.0009,0.18530000000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0
股票型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.8715999999999999,0.045700000000000005,0.0989,0.5746,0.0336,0.0002,0.0,0.0,0.0694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1938,0.0,0.0,0.0,0.0
